93 7  126 RIO GRANDE RISE, SOUTH ATLANTIC OCEAN                                 
 -32.4258  -38.6326 2
 -32.3268  -38.6600 2
 -32.2627  -38.7012 2
 -32.1947  -38.7424 2
 -32.1616  -38.7675 2
 -32.0954  -38.8407 2
 -32.0643  -38.8979 2
 -32.0214  -38.9596 2
 -31.9669  -39.0122 2
 -31.9201  -39.0763 2
 -31.8830  -39.1266 2
 -31.7854  -39.1289 2
 -31.6368  -39.1220 2
 -31.5761  -39.1060 2
 -31.5252  -39.0923 2
 -31.4468  -39.0671 2
 -31.3251  -39.0442 2
 -31.2505  -39.0351 2
 -31.2053  -39.0397 2
 -31.1443  -39.0534 2
 -31.0951  -39.0717 2
 -31.0538  -39.1014 2
 -30.9868  -39.1449 2
 -30.9395  -39.1929 2
 -30.8981  -39.2318 2
 -30.8449  -39.2524 2
 -30.7422  -39.2661 2
 -30.6691  -39.2638 2
 -30.6236  -39.2135 2
 -30.5722  -39.1563 2
 -30.5662  -39.0763 2
 -30.5385  -39.0328 2
 -30.4949  -38.9894 2
 -30.4533  -38.9505 2
 -30.4256  -38.9093 2
 -30.3800  -38.8887 2
 -30.3443  -38.8842 2
 -30.2888  -38.8819 2
 -30.2451  -38.8773 2
 -30.1875  -38.8544 2
 -30.1199  -38.7950 2
 -30.1100  -38.7675 2
 -30.0781  -38.7332 2
 -30.0682  -38.7035 2
 -30.0662  -38.6600 2
  99.0000   99.0000 3
